X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
317051.5,6276696.5,51.00,4059.93181,4091.46924,5275.00,501.82410,0.54971,317051.500000,6276696.500000
317060.5,6276696.5,52.00,3855.49247,3782.13148,5309.00,501.86995,0.55305,317060.500000,6276696.500000
317069.5,6276696.5,53.00,3722.61094,3305.78790,5135.00,501.92350,0.55610,317069.500000,6276696.500000
317078.5,6276696.5,54.00,3795.04237,3704.99328,5390.00,501.99060,0.55877,317078.500000,6276696.500000
317087.5,6276696.5,55.00,3819.28291,3982.95487,5106.00,502.07900,0.56229,317087.500000,6276696.500000
317096.5,6276696.5,56.00,3915.09360,3733.75964,5182.00,502.18180,0.56529,317096.500000,6276696.500000
317105.5,6276696.5,57.00,3811.24289,4059.77138,4946.00,502.29240,0.56685,317105.500000,6276696.500000
317114.5,6276696.5,58.00,3833.77638,3989.24569,5000.00,502.40605,0.56781,317114.500000,6276696.500000
317123.5,6276696.5,59.00,3774.71671,3788.13418,5226.00,502.57592,0.56830,317123.500000,6276696.500000
317132.5,6276696.5,60.00,3499.50605,3908.77002,5153.00,502.67960,0.56775,317132.500000,6276696.500000
317141.5,6276696.5,61.00,3806.74045,3737.44442,5491.00,502.71875,0.56742,317141.500000,6276696.500000
317150.5,6276696.5,62.00,3787.23696,3684.19516,5372.00,502.75880,0.56800,317150.500000,6276696.500000
317159.5,6276696.5,63.00,3767.05392,3795.41779,5297.00,502.80170,0.56746,317159.500000,6276696.500000
317168.5,6276696.5,64.00,3800.07286,2536.06730,5549.00,502.84710,0.56652,317168.500000,6276696.500000
317177.5,6276696.5,65.00,3921.60484,4000.85223,5280.00,502.89585,0.56530,317177.500000,6276696.500000
317186.5,6276696.5,66.00,3872.69601,3794.69814,5497.00,502.95605,0.56342,317186.500000,6276696.500000
317195.5,6276696.5,67.00,3996.45470,3907.02670,4988.00,503.01665,0.56100,317195.500000,6276696.500000
317204.5,6276696.5,68.00,4093.20542,3648.05942,5097.00,503.07465,0.55688,317204.500000,6276696.500000
317213.5,6276696.5,69.00,3759.50198,3651.49524,4988.00,503.13060,0.55005,317213.500000,6276696.500000
317222.5,6276696.5,70.00,3810.79171,3518.75687,4932.00,503.18865,0.54252,317222.500000,6276696.500000
317231.5,6276696.5,71.00,4315.36098,3779.02833,5176.00,503.25595,0.53917,317231.500000,6276696.500000
317240.5,6276696.5,72.00,3682.13288,3889.95453,5143.00,503.32720,0.53838,317240.500000,6276696.500000
317249.5,6276696.5,73.00,4130.83295,3875.74625,5141.00,503.43345,0.53691,317249.500000,6276696.500000
317258.5,6276696.5,74.00,4304.76351,3720.60376,5053.00,503.52995,0.53564,317258.500000,6276696.500000
317267.5,6276696.5,75.00,4041.07276,3633.66559,4669.00,503.57900,0.53839,317267.500000,6276696.500000
317276.5,6276696.5,76.00,4033.64951,3681.03630,4935.00,503.61975,0.54223,317276.500000,6276696.500000
317285.5,6276696.5,77.00,3987.61927,3456.15780,4542.00,503.65750,0.54558,317285.500000,6276696.500000
317294.5,6276696.5,78.00,3845.55374,3841.98279,4757.00,503.69615,0.55158,317294.500000,6276696.500000
317303.5,6276696.5,79.00,4025.15742,3715.08971,4643.00,503.73805,0.55814,317303.500000,6276696.500000
317312.5,6276696.5,80.00,3597.37997,3706.97149,4524.00,503.78530,0.56412,317312.500000,6276696.500000
